Rk,Cmp,Att,Cmp%,TotDist,Ast,xA,KP
600,1122,1343,83.5,22657,3,2.7,35
601,990,1180,83.9,23215,1,0.3,3
602,8,10,80.0,104,0,0.0,0
603,191,259,73.7,2865,0,1.0,14
604,768,902,85.1,14021,0,1.4,8
605,4,5,80.0,49,0,0.0,0
606,18,22,81.8,230,0,0.1,2
607,2,2,100.0,24,0,0.0,1
608,1068,1220,87.5,24092,2,1.0,4
609,500,578,86.5,8394,4,0.8,12
610,189,260,72.7,2748,0,0.6,6
611,14,19,73.7,243,0,0.0,0
612,372,414,89.9,5527,0,0.6,5
613,447,496,90.1,8313,1,0.4,6
614,5,6,83.3,121,0,0.0,0
615,389,467,83.3,8321,0,0.0,1
616,0,0,,0,0,0.0,0
617,51,64,79.7,887,0,0.0,0
618,35,49,71.4,698,0,0.1,2
619,1050,1218,86.2,18748,0,0.6,12
620,461,555,83.1,9842,1,0.5,5
621,115,159,72.3,2054,1,0.2,1
622,1466,1588,92.3,30763,0,0.3,6
623,1,1,100.0,23,0,0.0,0
624,805,1076,74.8,16426,1,2.2,28
625,843,1153,73.1,17642,4,3.8,48
626,1208,1521,79.4,23692,1,0.8,12
627,1585,1834,86.4,25947,5,3.6,33
628,730,956,76.4,13128,0,0.7,10
629,681,870,78.3,13271,0,0.3,5
630,107,141,75.9,1475,0,0.2,7
631,366,407,89.9,7310,0,0.0,0
632,729,908,80.3,17549,0,0.3,4
633,1674,2244,74.6,34634,20,18.3,131
634,533,661,80.6,11243,0,0.0,0
635,1377,1843,74.7,28748,6,6.9,71
636,283,344,82.3,5053,0,0.1,2
637,693,959,72.3,11993,0,1.6,18
638,541,691,78.3,11214,1,0.9,13
639,808,1071,75.4,14546,1,1.1,16
640,405,707,57.3,6233,2,3.4,27
641,305,342,89.2,4157,3,1.4,8
642,0,1,0.0,0,0,0.0,0
643,224,296,75.7,4563,1,0.3,9
644,379,482,78.6,5931,5,2.9,22
645,468,677,69.1,7868,0,0.5,11
646,506,586,86.3,9520,0,0.0,1
647,27,44,61.4,1136,0,0.0,0
648,444,556,79.9,8924,1,0.5,6
649,451,765,59.0,8284,3,4.1,36
650,676,778,86.9,14008,0,0.3,6
651,347,469,74.0,4919,2,1.8,24
652,201,261,77.0,3426,0,0.6,8
653,290,306,94.8,5505,1,0.3,1
654,947,1214,78.0,18600,5,3.8,41
655,933,1076,86.7,16232,0,1.1,12
656,715,782,91.4,13894,0,0.4,9
657,1492,1568,95.2,33328,1,0.2,3
658,1087,1284,84.7,22070,0,0.6,7
659,102,149,68.5,1496,1,0.3,6
660,1092,1266,86.3,22657,1,0.5,9
661,479,697,68.7,8418,1,2.2,26
662,368,485,75.9,6162,2,2.9,22
663,321,377,85.1,7719,0,0.0,0
664,563,710,79.3,10529,0,0.2,3
665,14,20,70.0,247,0,0.9,2
666,20,26,76.9,223,0,0.0,0
667,603,823,73.3,10186,5,4.6,45
668,34,68,50.0,628,1,0.6,4
669,181,256,70.7,2206,0,0.6,5
670,264,346,76.3,4257,0,1.0,17
671,2003,2274,88.1,34218,3,2.8,30
672,940,1290,72.9,17535,14,13.7,76
673,251,328,76.5,3609,1,2.2,23
674,362,482,75.1,5079,3,1.8,16
675,515,700,73.6,8277,5,4.7,34
676,726,804,90.3,15580,0,0.0,1
677,568,669,84.9,11551,0,0.0,1
678,986,1061,92.9,19786,1,0.1,3
679,318,451,70.5,4922,3,2.5,26
680,729,838,87.0,15945,1,0.7,9
681,41,56,73.2,823,0,0.0,0
682,454,685,66.3,8807,3,5.5,41
683,51,97,52.6,2198,0,0.0,0
684,888,996,89.2,18527,1,0.5,16
685,35,40,87.5,472,0,0.0,0
686,1020,1507,67.7,22122,5,2.9,27
687,732,902,81.2,13030,0,0.1,3
688,713,876,81.4,15425,2,0.1,4
689,1353,1946,69.5,25902,7,5.7,70
690,2791,3085,90.5,65378,1,1.3,7
691,432,545,79.3,7458,0,0.8,11
692,298,412,72.3,5142,2,1.2,13
693,314,417,75.3,5925,3,1.9,13
694,11,14,78.6,215,0,0.0,0
695,269,370,72.7,4847,1,1.0,12
696,71,117,60.7,1031,0,0.2,6
697,755,948,79.6,15502,1,0.8,4
698,593,806,73.6,12207,0,0.5,14
699,39,51,76.5,713,0,0.1,1
700,1237,1441,85.8,29035,0,0.5,4
701,380,432,88.0,8295,0,0.0,0
702,684,934,73.2,16425,0,0.4,6
703,191,264,72.3,2736,2,1.3,13
704,346,395,87.6,7235,0,0.1,2
705,1066,1198,89.0,23935,1,0.5,5
706,1612,1834,87.9,29384,1,0.5,10
707,15,23,65.2,232,1,0.2,2
708,479,1062,45.1,24007,0,0.0,1
709,1369,1793,76.4,22390,3,1.7,23
710,232,301,77.1,3534,3,1.1,7
711,57,75,76.0,888,0,0.1,4
712,300,457,65.6,10025,0,0.0,0
713,349,413,84.5,6736,1,0.9,12
714,853,997,85.6,16172,0,1.7,24
715,14,23,60.9,184,0,0.0,0
716,75,133,56.4,1233,0,0.3,6
717,307,445,69.0,4792,2,1.1,16
718,872,1142,76.4,25434,0,0.0,0
719,1228,1457,84.3,26925,0,0.1,3
720,463,735,63.0,8146,2,4.6,48
721,273,461,59.2,4417,2,1.4,18
722,1302,1658,78.5,21942,2,2.6,33
723,9,9,100.0,160,0,0.0,0
