Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
2691,0,3,0,0.0,0.00,0.00,0,0,0.1
2692,4,15,9,60.0,0.68,0.27,0,0,1.2
2693,0,8,2,25.0,0.17,0.00,0,0,0.8
2694,0,1,0,0.0,0.00,0.00,0,0,0.0
2695,2,27,9,33.3,0.38,0.07,0,0,3.6
2696,1,4,3,75.0,0.27,0.25,0,0,0.2
2697,0,0,0,,0.00,,0,0,0.0
2698,4,61,17,27.9,0.47,0.07,0,0,5.3
2699,2,23,5,21.7,0.23,0.09,0,0,1.5
2700,0,8,2,25.0,0.07,0.00,0,0,0.2
2701,2,29,8,27.6,0.28,0.07,0,0,2.4
2702,0,2,1,50.0,0.75,0.00,0,0,0.0
2703,6,47,22,46.8,1.32,0.13,0,0,3.9
2704,1,12,2,16.7,0.10,0.08,0,0,0.7
2705,18,87,35,40.2,1.55,0.20,1,1,14.2
2706,0,4,0,0.0,0.00,0.00,0,0,0.5
2707,6,50,22,44.0,1.21,0.12,0,0,5.7
2708,0,0,0,,0.00,,0,0,0.0
2709,0,1,0,0.0,0.00,0.00,0,0,0.0
2710,0,0,0,,0.00,,0,0,0.0
2711,0,0,0,,0.00,,0,0,0.0
2712,2,77,21,27.3,0.65,0.03,0,0,4.0
2713,0,9,1,11.1,0.13,0.00,0,0,0.3
2714,0,6,1,16.7,0.06,0.00,0,0,0.3
2715,1,16,1,6.3,0.03,0.06,0,0,0.7
2716,0,16,3,18.8,0.21,0.00,0,0,0.4
2717,0,0,0,,0.00,,0,0,0.0
2718,4,11,6,54.5,1.82,0.36,0,0,1.9
2719,0,1,0,0.0,0.00,0.00,0,0,0.0
2720,2,13,8,61.5,0.64,0.15,0,0,1.0
2721,1,16,5,31.3,0.85,0.06,0,0,1.6
2722,3,19,7,36.8,0.52,0.16,0,0,2.9
2723,0,15,5,33.3,0.19,0.00,0,0,0.7
2724,0,14,1,7.1,0.03,0.00,0,0,0.4
2725,2,9,3,33.3,0.36,0.22,0,1,1.6
2726,0,4,0,0.0,0.00,0.00,0,0,0.1
2727,0,2,0,0.0,0.00,0.00,0,0,0.0
2728,1,7,1,14.3,0.09,0.14,0,0,0.3
2729,0,1,0,0.0,0.00,0.00,0,0,0.0
2730,0,0,0,,0.00,,0,0,0.0
2731,4,49,17,34.7,0.61,0.08,0,0,3.2
2732,5,41,9,22.0,0.50,0.12,0,0,3.2
